k,Recall@6,MAP@6
10,0.11093530724903274,0.06877671782344985
20,0.19904972989229067,0.13736078502479
30,0.23125845603494796,0.1721655496261661
40,0.24901683837252675,0.18873149719979312
50,0.265298656529723,0.20363427364165593
60,0.2759650573039669,0.21492274169744424
70,0.28309756449787765,0.22288379745660447
80,0.28696962680853644,0.22367089272337307
90,0.28714467171165153,0.22248442539668029
100,0.29396810316963334,0.2294603254124748
110,0.29314598521296503,0.2335194496498857
120,0.3067406207754843,0.2434746312229578
130,0.3108194968864767,0.24422406592127657
140,0.3115749444039256,0.2466874422503027
150,0.3104601401937867,0.24535524472002354
160,0.3128806865090698,0.2484113655310119
170,0.31427077789916125,0.24730847222166868
180,0.31131705098929396,0.24448979091380607
190,0.3136919515922647,0.24577873735095662
200,0.31646306858825274,0.24754473162153315
210,0.3155904843823352,0.24750679929306074
220,0.3190718379864958,0.2510518837563356
230,0.31519032443831557,0.2463923432097362
240,0.30834873393005846,0.2432320424236184
250,0.30549337685631056,0.2416077517105861
