query_id,nDCG
1,0.6551
2,0.3633
3,0.8093
4,1.0000
5,0.5107
6,0.2429
7,0.7665
8,0.4591
9,0.0000
10,0.4395
11,0.7150
12,0.7463
13,0.6320
14,0.0000
15,0.2422
16,0.7606
17,0.7871
18,0.4055
19,0.0000
20,0.9272
21,0.8338
22,0.0000
23,0.5704
24,0.9466
25,0.5131
26,0.1996
27,0.4288
28,0.0000
29,0.2542
30,0.0846
31,0.9596
32,0.6235
33,0.9267
34,0.5073
35,0.1358
36,0.5959
37,0.2485
38,0.4150
39,0.5080
40,0.4333
41,0.6842
42,0.8336
43,0.5432
44,0.0000
45,0.4726
46,0.3699
47,0.4162
48,0.3922
49,0.4979
50,0.0000
51,0.4050
52,0.4356
53,0.2192
54,0.7198
55,0.2582
56,0.6940
57,0.4138
58,0.3991
59,0.3058
60,0.3392
61,0.7647
62,0.0000
63,0.0000
64,0.0000
65,0.7456
66,0.4987
67,0.5198
68,0.6138
69,0.0000
70,0.1679
71,0.3375
72,0.0821
73,0.6771
74,0.0000
75,0.1936
76,0.3450
77,0.5433
78,0.3964
79,0.8326
80,0.6044
81,0.2467
82,0.7833
83,0.0000
84,0.1575
85,0.0000
86,0.7479
87,0.0000
88,0.7017
89,0.2768
90,0.0451
91,0.3608
92,0.3371
93,1.0000
94,0.1637
95,0.2209
96,0.4788
97,0.1757
98,0.7112
99,0.7581
100,0.5973
101,0.6632
102,0.1012
103,0.8155
104,0.2517
105,0.9808
106,0.5355
107,0.7070
108,0.3699
109,0.0000
110,0.4459
111,0.5344
112,0.8987
113,0.0000
114,0.4061
115,0.0000
116,0.0521
117,0.0000
118,0.1839
119,0.0000
120,0.6518
121,0.3132
122,0.4941
123,0.8179
124,0.5913
125,0.0559
126,0.3600
127,0.0465
128,0.5145
129,0.7151
130,0.7107
131,0.4847
132,0.3178
133,0.0701
134,0.4387
135,0.2782
136,0.6271
137,0.8413
138,0.4844
139,0.0000
140,0.5142
141,0.2316
142,0.3066
143,0.2346
144,0.6408
145,0.5691
146,0.7289
147,0.7771
148,0.7902
149,0.2166
150,0.6320
151,0.0000
152,0.0000
153,0.4331
154,0.5662
155,0.3590
156,0.4391
157,0.3077
158,0.5795
159,0.6539
160,0.7975
161,0.4195
162,0.1733
163,0.5767
164,0.2070
165,0.9218
166,0.3970
167,0.2073
168,0.7039
169,0.7622
170,0.6175
171,0.7048
172,0.7988
173,1.0000
174,0.1088
175,0.6288
176,0.4364
177,0.8360
178,0.5339
179,0.1339
180,0.8466
181,0.0321
182,0.9834
183,0.1235
184,0.6206
185,0.4940
186,0.1608
187,0.7593
188,0.5551
189,0.5597
190,0.0806
191,0.1936
192,0.9285
193,0.6573
194,0.5112
195,0.7620
196,0.0000
197,0.8671
198,0.2408
199,0.0000
200,0.8355
201,0.4317
202,0.6599
203,0.2410
204,0.2016
205,0.0000
206,0.8512
207,0.0000
208,0.8980
209,0.1150
210,0.4128
211,0.0501
212,0.6767
213,0.7635
214,0.8249
215,0.9486
216,0.0000
217,0.0245
218,0.1904
219,0.0259
220,0.3373
221,0.3245
222,0.5543
223,0.3579
224,0.1795
225,0.0091
